open_time	open	high	low	close	volume	close_time	quote_asset_volume	num_trades	taker_buy_base_vol	taker_buy_quote_vol	open_dt	close_dt
1740066300000	97111.35	97111.35	97111.35	97111.35	0.00015	1740067199999	14.5667025	1	0	0	2025-02-20 15:45:00+00:00	2025-02-20 15:59:59.999000+00:00
1740067200000	97111.35	97111.35	97111.35	97111.35	0	1740068099999	0	0	0	0	2025-02-20 16:00:00+00:00	2025-02-20 16:14:59.999000+00:00
1740068100000	97111.35	97111.35	97111.35	97111.35	0	1740068999999	0	0	0	0	2025-02-20 16:15:00+00:00	2025-02-20 16:29:59.999000+00:00
1740069000000	97111.35	97111.35	97111.35	97111.35	0	1740069899999	0	0	0	0	2025-02-20 16:30:00+00:00	2025-02-20 16:44:59.999000+00:00
1740069900000	97111.35	97111.35	97111.35	97111.35	0	1740070799999	0	0	0	0	2025-02-20 16:45:00+00:00	2025-02-20 16:59:59.999000+00:00
1740070800000	97111.35	97111.35	97111.35	97111.35	0	1740071699999	0	0	0	0	2025-02-20 17:00:00+00:00	2025-02-20 17:14:59.999000+00:00
1740071700000	97799.99	97843.96	97799.99	97843.96	0.01476	1740072599999	1443.8563716	10	0	0	2025-02-20 17:15:00+00:00	2025-02-20 17:29:59.999000+00:00
1740072600000	97843.96	97843.96	97843.95	97843.95	0.00199	1740073499999	194.7094708	2	0	0	2025-02-20 17:30:00+00:00	2025-02-20 17:44:59.999000+00:00
1740073500000	97874.04	97908.71	97874.04	97896.43	0.00623	1740074399999	609.8936498	4	0	0	2025-02-20 17:45:00+00:00	2025-02-20 17:59:59.999000+00:00
1740074400000	98052.73	98241.64	98052.73	98241.64	0.00422	1740075299999	414.3345951	5	0	0	2025-02-20 18:00:00+00:00	2025-02-20 18:14:59.999000+00:00
1740075300000	98243.64	98339.58	98243.64	98336.28	0.07244	1740076199999	7120.7852021	20	0	0	2025-02-20 18:15:00+00:00	2025-02-20 18:29:59.999000+00:00
1740076200000	98326.88	98326.88	98078.72	98139.58	0.00164	1740077099999	160.9985838	5	0	0	2025-02-20 18:30:00+00:00	2025-02-20 18:44:59.999000+00:00
1740077100000	98327.73	98399.5	98325.96	98325.96	0.05182	1740077999999	5096.5108822	6	0.05182	5096.5108822	2025-02-20 18:45:00+00:00	2025-02-20 18:59:59.999000+00:00
1740078000000	98300	98300	98300	98300	0.65416	1740078899999	64303.928	7	0.65416	64303.928	2025-02-20 19:00:00+00:00	2025-02-20 19:14:59.999000+00:00
